Article Name,Link,DOI Number,Country,Year,Journal Name,Abstract,Keywords,Article Type
Expectations of Anesthesiology and Intensive Care Professionals Toward Artificial Intelligence: Observational Study,https://pubmed.ncbi.nlm.nih.gov/37307038/,10.2196/43896," Frankfurt, Germany.",2023,JMIR Form Res,"Background:
        
      
      Artificial intelligence (AI) applications offer numerous opportunities to improve health care. To be used in the intensive care unit, AI must meet the needs of staff, and potential barriers must be addressed through joint action by all stakeholders. It is thus critical to assess the needs and concerns of anesthesiologists and intensive care physicians related to AI in health care throughout Europe.",,N/A
On the Horizon: Specific Applications of Automation and Artificial Intelligence in Anesthesiology,https://pubmed.ncbi.nlm.nih.gov/38106626/,10.1007/s40140-023-00558-0," MA, USA.",2023,Curr Anesthesiol Rep,"Purpose of review:
        
      
      The purpose of this review is to summarize the current research and critically examine artificial intelligence (AI) technologies and their applicability to the daily practice of anesthesiologists.",,N/A
Introduction to The Spine Journal special issue on artificial intelligence and machine learning,https://pubmed.ncbi.nlm.nih.gov/33785475/,10.1016/j.spinee.2021.03.028," MA, USA. Electronic address: akarhade@partners.org.",2021,Spine J,"In the last 5 years, artificial intelligence (AI) algorithms have made rapid advances for diagnosis and prognosis in fields ranging from dermatology to anesthesiology. How do we make sense of the rise of AI in healthcare and specifically in spine? How much of what we see today is ""hype"" and what will remain when the dust settles? In this special issue, several reviews and original articles help us understand the state of AI in healthcare today, the avenues for future progress, and the implications for spine care. Continued engagement, skepticism, and collaboration with technical experts will allow for the development of AI systems that complement and expand our abilities to diagnose, predict, and operate.","Introductory Journal Article, Algorithms, Artificial Intelligence*, Delivery of Health Care, Humans, Machine Learning*, Prognosis",N/A
Artificial Intelligence in Echocardiography for Anesthesiologists,https://pubmed.ncbi.nlm.nih.gov/32962932/,10.1053/j.jvca.2020.08.048," Shanghai, China.",2021,J Cardiothorac Vasc Anesth,"Echocardiography is a unique diagnostic tool for intraoperative monitoring and assessment of patients with cardiovascular diseases. However, there are high levels of interoperator variations in echocardiography interpretations that could lead to inaccurate diagnosis and incorrect treatment. Furthermore, anesthesiologists are faced with the additional challenge to interpret echocardiography and make decisions in a limited timeframe from these complex data. The need for an automated, less operator-dependent process that enhances speed and accuracy of echocardiography analysis is crucial for anesthesiologists. Artificial intelligence is playing an increasingly important role in the medical field and could help anesthesiologists analyze complex echocardiographic data while adding increased accuracy and consistency to interpretation. This review aims to summarize practical use of artificial intelligence in echocardiography and discusses potential limitations and challenges in the future for anesthesiologists.","Review, Anesthesiologists, Artificial Intelligence*, Cardiovascular Diseases*, Echocardiography, Humans, Monitoring, Intraoperative",Review
Artificial intelligence research in anesthesia and intensive care,https://pubmed.ncbi.nlm.nih.gov/3057121/,10.1007/BF01617327,N/A,1988,J Clin Monit,"This article describes several research directions exploring the application of artificial intelligence techniques in anesthesia and intensive care. Artificial intelligence can be loosely defined as the discipline of designing computer systems that exhibit ""intelligent"" behavior. This article first introduces artificial intelligence and computer science research and discusses why medicine has proved to be a challenging domain for applying artificial intelligence techniques. A discussion of the central research themes that arise in medical artificial intelligence, many of which are common to different projects and to different medical settings, is followed by a description of specific research projects that apply artificial intelligence techniques in anesthesiology, ventilatory management, and cardiovascular management. Finally, further comments are made on the current state of the field.","Research Support, U.S. Gov't, P.H.S., Review, Anesthesia*, Artificial Intelligence*, Critical Care*, Decision Making, Computer-Assisted, Humans, Logic, Models, Biological, Research Design / standards*",Review
"Envisioning gamification in anesthesia, pain management, and critical care: basic principles, integration of artificial intelligence, and simulation strategies",https://pubmed.ncbi.nlm.nih.gov/37697415/,10.1186/s44158-023-00118-2," Naples, Italy. m.cascella@istitutotumori.na.it.",2023,J Anesth Analg Crit Care,"Unlike traditional video games developed solely for entertainment purposes, game-based learning employs intentionally crafted approaches that seamlessly merge entertainment and educational content, resulting in captivating and effective learning encounters. These pedagogical methods include serious video games and gamification. Serious games are video games utilized as tools for acquiring crucial (serious) knowledge and skills. On the other hand, gamification requires integrating gaming elements (game mechanics) such as points, leaderboards, missions, levels, rewards, and more, into a context that may not be associated with video gaming activities. They can be dynamically (game dynamics) combined developing various strategic approaches. Operatively, gamification adopts simulation elements and leverages the interactive nature of gaming to teach players specific skills, convey knowledge, or address real-world issues. External incentives stimulate internal motivation. Therefore, these techniques place the learners in the central role, allowing them to actively construct knowledge through firsthand experiences.Anesthesia, pain medicine, and critical care demand a delicate interplay of technical competence and non-technical proficiencies. Gamification techniques can offer advantages to both domains. Game-based modalities provide a dynamic, interactive, and highly effective opportunity to learn, practice, and improve both technical and non-technical skills, enriching the overall proficiency of anesthesia professionals. These properties are crucial in a discipline where personal skills, human factors, and the influence of stressors significantly impact daily work activities. Furthermore, gamification can also be embraced for patient education to enhance comfort and compliance, particularly within pediatric settings (game-based distraction), and in pain medicine through stress management techniques. On these bases, the creation of effective gamification tools for anesthesiologists can present a formidable opportunity for users and developers.This narrative review comprehensively examines the intricate aspects of gamification and its potentially transformative influence on the fields of anesthesiology. It delves into theoretical frameworks, potential advantages in education and training, integration with artificial intelligence systems and immersive techniques, and also addresses the challenges that could arise within these contexts.",Review,Review
Artificial intelligence in anesthesiology: What are the missing pieces?,https://pubmed.ncbi.nlm.nih.gov/33713933/,10.1016/j.jclinane.2021.110219," FL, USA. Electronic address: cgoldstein@anest.ufl.edu.",2021,J Clin Anesth,N/A,"Letter, Anesthesiology*, Artificial Intelligence*, Humans",N/A
Recent advances in the technology of anesthesia,https://pubmed.ncbi.nlm.nih.gov/32494358/,10.12688/f1000research.24059.1,N/A,2020,F1000Res,"The practice of anesthesiology is inextricably dependent upon technology. Anesthetics were first made possible, then increasingly safe, and now more scalable and efficient in part due to advances in monitoring and delivery technology. Herein, we discuss salient advances of the last three years in the technology of anesthesiology. Consumer technology and telemedicine have exploded onto the scene of outpatient medicine, and perioperative management is no exception. Preoperative evaluations have been done via teleconference, and copious consumer-generated health data is available. Regulators have acknowledged the vast potential found in the transfer of consumer technology to medical practice, but issues of privacy, data ownership/security, and validity remain. Inside the operating suite, monitoring has become less invasive, and clinical decision support systems are common. These technologies are susceptible to the ""garbage in, garbage out"" conundrum plaguing artificial intelligence, but they will improve as network latency decreases. Automation looms large in the future of anesthesiology as closed-loop anesthesia delivery systems are being tested in combination (moving toward a comprehensive system). Moving forward, consumer health companies will search for applications of their technology, and loosely regulated health markets will see earlier adoption of next-generation technology. Innovations coming to anesthesia will need to account for human factors as the anesthesia provider is increasingly considered a component of the patient care apparatus.","Research Support, N.I.H., Extramural, Review, Anesthesia / trends*, Artificial Intelligence, Computer Security, Confidentiality, Humans, Telemedicine*",Review
Artificial intelligence software can generate residency application personal statements that program directors find acceptable and difficult to distinguish from applicant compositions,https://pubmed.ncbi.nlm.nih.gov/37336139/,10.1016/j.jclinane.2023.111185," West Virginia University, United States of America. Electronic address: JohnstoneR@hsc.wvu.edu.",2023,J Clin Anesth,"Study objective:
        
      
      Create personal statements using an artificial intelligence program for anesthesiology residency applications that residency program directors rate as acceptable.","Anesthesiology* / education, Artificial Intelligence, Humans, Internship and Residency*, Software, Surveys and Questionnaires",N/A
[Machine learning in anesthesiology],https://pubmed.ncbi.nlm.nih.gov/32318789/,10.1007/s00101-020-00764-z," Hamburg, Deutschland.",2020,Anaesthesist,"The application of artificial intelligence (AI) is currently changing very different areas of life. Artificial intelligence involves the emulation of human behavior with the aid of methods from mathematics and informatics. Machine learning (ML) represents a subdivision of AI. Algorithms for ML have the potential to optimize patient care, in that they can be utilized in a supportive way in personalized medicine, decision making and risk prediction. Although the majority of the applications in medicine are still limited to data analysis and research, it is certain that ML will become increasingly more important in scientific and clinical aspects in this supportive function. Therefore, it is necessary for clinicians to have at least a basic understanding of the functional principles, strengths and weaknesses of ML.","Review, Algorithms, Anesthesiology*, Artificial Intelligence*, Humans, Machine Learning*, Neural Networks, Computer, Precision Medicine",Review
Science Without Conscience Is but the Ruin of the Soul: The Ethics of Big Data and Artificial Intelligence in Perioperative Medicine,https://pubmed.ncbi.nlm.nih.gov/32287130/,10.1213/ANE.0000000000004728," Los Angeles, California.",2020,Anesth Analg,"Artificial intelligence-driven anesthesiology and perioperative care may just be around the corner. However, its promises of improved safety and patient outcomes can only become a reality if we take the time to examine its technical, ethical, and moral implications. The aim of perioperative medicine is to diagnose, treat, and prevent disease. As we introduce new interventions or devices, we must take care to do so with a conscience, keeping patient care as the main objective, and understanding that humanism is a core component of our practice. In our article, we outline key principles of artificial intelligence for the perioperative physician and explore limitations and ethical challenges in the field.","Research Support, N.I.H., Extramural, Review, Algorithms*, Artificial Intelligence / ethics*, Big Data*, Conscience*, Humans, Perioperative Medicine / ethics*, Perioperative Medicine / trends, Physicians / ethics",Review
Utilizing Artificial Intelligence and Chat Generative Pretrained Transformer to Answer Questions About Clinical Scenarios in Neuroanesthesiology,https://pubmed.ncbi.nlm.nih.gov/38124357/,10.1097/ANA.0000000000000949," Department of Anesthesiology, University of North Carolina at Chapel Hill.",2023,J Neurosurg Anesthesiol,"Objective:
        
      
      We tested the ability of chat generative pretrained transformer (ChatGPT), an artificial intelligence chatbot, to answer questions relevant to scenarios covered in 3 clinical guidelines, published by the Society for Neuroscience in Anesthesiology and Critical Care (SNACC), which has published management guidelines: endovascular treatment of stroke, perioperative stroke (Stroke), and care of patients undergoing complex spine surgery (Spine).",,N/A
Evaluation of the effectiveness of artificial intelligence for ultrasound guided peripheral nerve and plane blocks in recognizing anatomical structures,https://pubmed.ncbi.nlm.nih.gov/37572764/,10.1016/j.aanat.2023.152143,N/A,2023,Ann Anat,"Background:
        
      
      We aimed to assess the accuracy of artificial intelligence (AI) based real-time anatomy identification for ultrasound-guided peripheral nerve and plane block in eight regions in this prospective observational study.","Observational Study, Adolescent, Adult, Aged, Artificial Intelligence*, Brachial Plexus* / diagnostic imaging, Female, Humans, Male, Middle Aged, Prospective Studies, Ultrasonography, Ultrasonography, Interventional / methods, Young Adult",Observational Study
Anesthesiologists in the Ether: Technology and Telemedicine in Anesthesiology,https://pubmed.ncbi.nlm.nih.gov/36150787/,10.1016/j.cvsm.2022.06.002," MT, USA. Electronic address: diva@anesthesiadiva.com.",2022,Vet Clin North Am Small Anim Pract,"A new frontier in veterinary anesthesia telehealth has begun. With the adoption of electronic anesthetic records and video, phone, and chat consultations, an anesthesiologist can be integrated into the care team of any patient, anywhere in the world. This article reviews the benefits of adopting an electronic anesthetic record system, and the ways that practitioners can incorporate a virtual anesthesiologist into their care team.","Review, Anesthesiologists, Anesthesiology*, Animals, Ether, Humans, Technology, Telemedicine*, Ether",Review
Anesthesiologists' Perspective on the Use of Artificial Intelligence in Ultrasound-Guided Regional Anaesthesia in Terms of Medical Ethics and Medical Education: A Survey Study,https://pubmed.ncbi.nlm.nih.gov/37161553/,10.5152/eurasianjmed.2023.22254," Samsun, Turkey.",2023,Eurasian J Med,"Objective:
        
      
      Controversy exists around the world as experts disagree on what artificial intelligence will imply for humanity in the future. Medical experts are starting to share perspectives on artificial intelligence with ethical and legal concerns appearing to prevail. The purpose of this study was to determine how anesthesiology and reanimation specialists in Turkey perceive the use of artificial intelligence in ultrasound-guided regional anesthetic applications in terms of medical ethics and education, as well as their perspectives on potential ethical issues.",,N/A
Patient Safety of Perioperative Medication Through the Lens of Digital Health and Artificial Intelligence,https://pubmed.ncbi.nlm.nih.gov/37256663/,10.2196/34453," IL, United States.",2023,JMIR Perioper Med,"Perioperative medication has made significant contributions to enhancing patient safety. Nevertheless, administering medication during this period still poses considerable safety concerns, with many errors being detected only after causing significant physiological disturbances. The intricacy of medication administration in the perioperative setting poses specific challenges to patient safety. To address these challenges, implementing potential strategies and interventions is critical. One such strategy is raising awareness and revising educational curricula regarding drug safety in the operating room. Another crucial strategy is recognizing the importance of redundancy and multiple checks in the operating room as a hallmark of medication safety, which is not a common practice. Digital health technologies and artificial intelligence (AI) also offer the potential to improve perioperative medication safety. Computerized physician order entry systems, electronic medication administration records, and barcode medication administration systems have been proven to reduce medication errors and improve patient safety. By implementing these strategies and interventions, health care professionals can enhance the safety of perioperative medication administration and improve patient outcomes.",,N/A
The present and future role of artificial intelligence and machine learning in anesthesiology,https://pubmed.ncbi.nlm.nih.gov/32841964/,10.1097/AIA.0000000000000294," Dallas, Texas.",2020,Int Anesthesiol Clin,N/A,"Anesthesiology*, Artificial Intelligence*, Humans, Machine Learning",N/A
[Individualized treatment in anesthesiology and intensive care medicine],https://pubmed.ncbi.nlm.nih.gov/36877231/,10.1007/s00101-023-01271-7," Münster, Deutschland.",2023,Anaesthesiologie,"Background:
        
      
      Individualized medicine uses data on biological characteristics of individual patients in order to tailor treatment planning to their unique constitution. With respect to the practice of anesthesiology and intensive care medicine, it bears the potential to systematize the often complex medical care of critically ill patients and to improve outcomes.","English Abstract, Review, Anesthesiology*, Critical Care, Critical Illness / therapy, Delivery of Health Care, Humans, Precision Medicine",Review
Abdominal Organ Transplantation: Noteworthy Literature in 2020,https://pubmed.ncbi.nlm.nih.gov/33845699/,10.1177/10892532211007256," NY, USA.",2021,Semin Cardiothorac Vasc Anesth,"In 2020, we identified and screened over 490 peer-reviewed publications on pancreatic transplantation, over 500 on intestinal transplantation, and over 5000 on kidney transplantation. The liver transplantation section specially focused on clinical trials and systematic reviews published in 2020 and featured selected articles. This review highlights noteworthy literature pertinent to anesthesiologists and critical care physicians caring for patients undergoing abdominal organ transplantation. We explore a wide range of topics, including COVID-19 and organ transplantation, risk factors and outcomes, pain management, artificial intelligence, robotic donor surgery, and machine perfusion.","Review, Abdomen / surgery*, Anesthesiology, Artificial Intelligence, COVID-19*, Critical Care / methods, Humans, Organ Transplantation / methods*, Risk Factors, Robotic Surgical Procedures / methods",Review
How anesthesiology can deal with innovation and new technologies?,https://pubmed.ncbi.nlm.nih.gov/37526467/,10.23736/S0375-9393.23.17464-5," Paris, France - olivier.langeron@aphp.fr.",2023,Minerva Anestesiol,"Innovation and new technologies have always impacted significantly the anesthesiology practice all along the perioperative course, as it is recognized as one of the most transformative medical specialties specifically regarding patient's safety. Beside a number of major changes in procedures, equipment, training, and organization that aggregated to establish a strong safety culture with effective practices, anesthesiology is also a stakeholder in disruptive innovation. The present review is not exhaustive and aims to provide an overview on how innovation could change and improve anesthesiology practices through some examples as telemedicine (TM), machine learning and artificial intelligence (AI). For example, postoperative complications can be accurately predicted by AI from automated real-time electronic health record data, matching physicians' predictive accuracy. Clinical workflow could be facilitated and accelerated with mobile devices and applications, assuming that these tools should remain at the service of patients and care providers. Care providers and patients connections have improved, thanks to these digital and innovative transformations, without replacing existing relationships between them. It also should give time back to physicians and nurses to better spend it in the perioperative care, and to provide ""personalized"" medicine keeping a high level of standard of care.",,N/A
Year in Review 2021: Noteworthy Literature in Cardiothoracic Anesthesia,https://pubmed.ncbi.nlm.nih.gov/35579926/,10.1177/10892532221100660," CO, USA.",2022,Semin Cardiothorac Vasc Anesth,"In 2021, progress in clinical science related to Cardiac Anesthesiology continued, but at a slower rate due to the ongoing pandemic and disruptions to clinical research. Most progress was incremental and addressed persistent questions related to our field. To identify articles for this review, we completed a structured review using our previously reported methods (1). Specifically, we used the search terms: ""cardiac anesthesiology and outcomes"" (n = 177), ""cardiothoracic anesthesiology"" (n = 34), ""cardiac anesthesia,"" and ""clinical outcomes"" (n = 42) filtered on clinical trials and the year 2021 in PubMed. We also reviewed clinical trials from the most prominent clinical journals to identify additional studies for a narrative review. We then selected the most noteworthy publications for inclusion in this review and identified key themes.","Review, Anesthesia, Cardiac Procedures*, Anesthesiology*, Humans",Review
A panoramic flight through artificial intelligence in anesthesiology and critical care medicine: the present of an intelligent future,https://pubmed.ncbi.nlm.nih.gov/36254694/,10.23736/S0375-9393.22.16988-9," Parma, Italy.",2022,Minerva Anestesiol,N/A,"Comment, Anesthesiology*, Artificial Intelligence*, Critical Care, Humans",Comment
"""The show must go on"": Aftermath of Covid-19 on anesthesiology residency programs",https://pubmed.ncbi.nlm.nih.gov/36337394/,10.4103/sja.sja_563_22," Jharkhand, India.",2022,Saudi J Anaesth,"COVID-19 has caused tectonic changes in the personal and professional lives of anesthesiologists and, among several aspects, anesthesiology residency and sub-specialty training has also undergone an unforeseen overhaul. We read the articles published on the impact of COVID-19 on training of anesthesiologists and set out to extract and narrate all the significant observations. At the outset, we begin by explaining how this pandemic posed a threat to the safety of the residents and mitigating measures like PPE and barriers that have now become 'the new normal'. Sub-specialties like critical care, cardiac anesthesia, pain and palliative care have also faced difficulty in imparting training due to an initial dearth in elective surgery case load but have adapted innovative measures to overcome that. Initially, conducting thesis and research became difficult due to problems in achieving the desires sample size needed to get significant results, but this pandemic has emerged as a dynamic laboratory where topics like 'psychological impact of COVID-19' and 'development of artificial intelligence models in COVID -19 ICUs' came into the fore. Pattern of examination has also become virtual and webinars showed how knowledge, with the right medium, has the potential of global outreach. As the pandemic took a toll on the mental health of the residents, attention was paid to this previously neglected aspect and ensuring their emotional well-being became a priority to avoid the issue of burn-out. We comment on how what initially was considered a scary problem, actually paved way for growth. It brought attention to safety, innovation, new tools for training, finding solutions within constraints, continuing developing our residents into future leaders who were also trained for mitigating disasters. Changes like online education, research on socio-economic impact, priority to mental health and artificial intelligence are here to stay and by imbibing it, we ensure that 'the show must go on'.",Review,Review
Utilizing ChatGPT in clinical research related to anesthesiology: a comprehensive review of opportunities and limitations,https://pubmed.ncbi.nlm.nih.gov/37691594/,10.17085/apm.23056," Seoul, Korea.",2023,Anesth Pain Med (Seoul),"Chat generative pre-trained transformer (ChatGPT) is a chatbot developed by OpenAI that answers questions in a human-like manner. ChatGPT is a GPT language model that understands and responds to natural language created using a transformer, which is a new artificial neural network algorithm first introduced by Google in 2017. ChatGPT can be used to identify research topics and proofread English writing and R scripts to improve work efficiency and optimize time. Attempts to actively utilize generative artificial intelligence (AI) are expected to continue in clinical settings. However, ChatGPT still has many limitations for widespread use in clinical research, owing to AI hallucination symptoms and its training data constraints. Researchers recommend avoiding scientific writing using ChatGPT in many traditional journals because of the current lack of originality guidelines and plagiarism of content generated by ChatGPT. Further regulations and discussions on these topics are expected in the future.",Review,Review
"Machine Learning, Deep Learning, and Closed Loop Devices-Anesthesia Delivery",https://pubmed.ncbi.nlm.nih.gov/34392886/,10.1016/j.anclin.2021.03.012,N/A,2021,Anesthesiol Clin,"With the tremendous volume of data captured during surgeries and procedures, critical care, and pain management, the field of anesthesiology is uniquely suited for the application of machine learning, neural networks, and closed loop technologies. In the past several years, this area has expanded immensely in both interest and clinical applications. This article provides an overview of the basic tenets of machine learning, neural networks, and closed loop devices, with emphasis on the clinical applications of these technologies.","Review, Anesthesia*, Anesthesiology*, Artificial Intelligence, Deep Learning*, Humans, Machine Learning",Review
Artificial Intelligence in Anesthetic Care: A Survey of Physician Anesthesiologists,https://pubmed.ncbi.nlm.nih.gov/38055624/,10.1213/ANE.0000000000006752," Seattle, Washington.",2023,Anesth Analg,"Background:
        
      
      This study explored physician anesthesiologists' knowledge, exposure, and perceptions of artificial intelligence (AI) and their associations with attitudes and expectations regarding its use in clinical practice. The findings highlight the importance of understanding anesthesiologists' perspectives for the successful integration of AI into anesthesiology, as AI has the potential to revolutionize the field.",,N/A
Remote Monitoring and Artificial Intelligence: Outlook for 2050,https://pubmed.ncbi.nlm.nih.gov/38215713/,10.1213/ANE.0000000000006712," New York, New York.",2024,Anesth Analg,"Remote monitoring and artificial intelligence will become common and intertwined in anesthesiology by 2050. In the intraoperative period, technology will lead to the development of integrated monitoring systems that will integrate multiple data streams and allow anesthesiologists to track patients more effectively. This will free up anesthesiologists to focus on more complex tasks, such as managing risk and making value-based decisions. This will also enable the continued integration of remote monitoring and control towers having profound effects on coverage and practice models. In the PACU and ICU, the technology will lead to the development of early warning systems that can identify patients who are at risk of complications, enabling early interventions and more proactive care. The integration of augmented reality will allow for better integration of diverse types of data and better decision-making. Postoperatively, the proliferation of wearable devices that can monitor patient vital signs and track their progress will allow patients to be discharged from the hospital sooner and receive care at home. This will require increased use of telemedicine, which will allow patients to consult with doctors remotely. All of these advances will require changes to legal and regulatory frameworks that will enable new workflows that are different from those familiar to today's providers.","Anesthesiologists, Artificial Intelligence*, Humans, Monitoring, Physiologic, Telemedicine*, Vital Signs",N/A
